Project Name,Project Group/Client Name,Billable,Archived,Minutes Logged,Budget,Budget Type,Budget Period Start,Budget Period End,Budgeted Minutes,Used Minutes,Remaining Minutes,Notes
AI,OpEx Projects,yes,no,46680,no,"","","",0,0,0,""
Linear IQ (LIQ),CapEx Projects,yes,no,134460,no,"","","",0,0,0,""
AIBM,OpEx Projects,yes,no,3810,no,"","","",0,0,0,Bridging the Dad Gap - US3722506384
NFL VoF (custom dashboard),OpEx Projects,yes,no,412710,no,"","","",0,0,0,
ESPN Bet,OpEx Projects,yes,no,3330,no,"","","",0,0,0,""
Decipher Migration,OpEx Projects,yes,no,71610,no,"","","",0,0,0,""
The Network - Troy (custom dashboard),OpEx Projects,yes,no,27855,no,"","","",0,0,0,""
Metadata Management System,CapEx Projects,yes,no,144600,no,"","","",0,0,0,""
NBCU/CoPilot (custom dashboard),OpEx Projects,yes,no,24030,no,"","","",0,0,0,""
Design System,CapEx Projects,yes,no,17700,no,"","","",0,0,0,
Cinesys+ (C+),CapEx Projects,yes,no,1802330,no,"","","",0,0,0,""
Queryous George,CapEx Projects,yes,no,97785,no,"","","",0,0,0,""
NRG Website,OpEx Projects,yes,no,47610,no,"","","",0,0,0,""
Synchronous Viewing (SV),CapEx Projects,yes,no,423255,no,"","","",0,0,0,""
GCP Migration,CapEx Projects,yes,no,270600,no,"","","",0,0,0,""
Engineering Ops,,yes,no,22710,no,"","","",0,0,0,
Mindwave (Mw),CapEx Projects,yes,no,559410,no,"","","",0,0,0,""
Personas,CapEx Projects,yes,no,185550,no,"","","",0,0,0,""
Google Safety Tracker (GST),CapEx Projects,yes,no,238749,no,"","","",0,0,0,""
Time-Off (OOO),,yes,no,915165,no,"","","",0,0,0,
Audience IQ (AIQ),,yes,no,28260,no,"","","",0,0,0,
Cycle,CapEx Projects,yes,no,425649,no,"","","",0,0,0,""
General Support (IT),OpEx Projects,yes,no,136350,no,"","","",0,0,0,""
CoPilot (CP),CapEx Projects,yes,no,1722153,no,"","","",0,0,0,US37200291
Syndicate Tracking Product (STP),OpEx Projects,yes,no,534390,no,"","","",0,0,0,""
Originals IQ (OIQ),CapEx Projects,yes,no,2149539,no,"","","",0,0,0,""
Security Operations (SecOps),OpEx Projects,yes,no,66090,no,"","","",0,0,0,""
NHL TBTS,OpEx Projects,yes,no,65430,no,"","","",0,0,0,
Forecast Modeling,,no,no,8100,no,"","","",0,0,0,
Rockstar (custom dashboard),OpEx Projects,yes,no,85800,no,"","","",0,0,0,""
Verizon Value Tracker (custom dashboard),OpEx Projects,yes,no,15990,no,"","","",0,0,0,""
Administration,OpEx Projects,yes,no,462510,no,"","","",0,0,0,""
Franchise IQ (FIQ),CapEx Projects,yes,no,1267405,no,"","","",0,0,0,Formerly Franchise Futures (FF)
Cinesys (legacy),OpEx Projects,yes,no,581310,no,"","","",0,0,0,""
Horizon (Hzn),CapEx Projects,yes,no,338331,no,"","","",0,0,0,""
Pixel United (custom dashboard),OpEx Projects,yes,no,55815,no,"","","",0,0,0,""
Extranet (XNet),OpEx Projects,yes,no,64395,no,"","","",0,0,0,""
CoPilot - Disney Paid Work,OpEx Projects,yes,no,960,no,"","","",0,0,0,""
EMEA (custom dashboard),OpEx Projects,yes,no,8700,no,"","","",0,0,0,""
Paramount Pop Poll (custom dashboard),OpEx Projects,yes,no,8760,no,"","","",0,0,0,""
The Network - Positioning Study (custom dashboard),OpEx Projects,yes,no,1200,no,"","","",0,0,0,""
